dataset,reception,proto_len,skip_scaling
ArticularyWordRecognition,0.75,0.5,
AtrialFibrillation,0.5,0.2,
BasicMotions,0.25,0.2,
CharacterTrajectories,0.9,1,
Cricket,0.75,0.1,
DuckDuckGeese,0.5,0.01,
ERing,0.25,1,
EigenWorms,0.25,0.01,
Epilepsy,0.5,1,
EthanolConcentration,0.25,0.01,
FaceDetection,0.9,1,
FingerMovements,0.5,1,
HandMovementDirection,0.5,1,
Handwriting,0.75,0.5,
Heartbeat,0.5,1,
InsectWingbeat,0.25,0.1,
JapaneseVowels,0.5,1,
LSST,0.75,0.1,T
Libras,0.9,0.5,
MotorImagery,0.5,0.01,
NATOPS,0.5,0.5,
PEMS-SF,0.75,1,
PenDigits,0.75,0.5,
PhonemeSpectra,0.75,0.1,
RacketSports,0.9,0.1,
SelfRegulationSCP1,0.5,0.01,
SelfRegulationSCP2,0.5,0.2,
SpokenArabicDigits,0.75,1,
StandWalkJump,0.75,0.5,
UWaveGestureLibrary,0.75,0.5,
